osebuildingid,datayear,buildingname,buildingtype,taxparcelidentificationnumber,address,city,state,zipcode,latitude,longitude,neighborhood,councildistrictcode,yearbuilt,numberoffloors,numberofbuildings,propertygfatotal,propertygfabuildings,propertygfaparking,selfreportgfatotal,selfreportgfabuildings,selfreportparking,energystarscore,siteeuiwn_kbtu_sf,siteeui_kbtu_sf,siteenergyuse_kbtu,siteenergyusewn_kbtu,sourceeuiwn_kbtu_sf,sourceeui_kbtu_sf,epapropertytype,largestpropertyusetype,largestpropertyusetypegfa,secondlargestpropertyusetype,thirdlargestpropertyusetype,electricity_kwh,steamuse_kbtu,naturalgas_therms,compliancestatus,complianceissue,electricity_kbtu,naturalgas_kbtu,totalghgemissions,ghgemissionsintensity,demolished,secondlargestpropertyuse,thirdlargestpropertyusetypegfa
15,2023,HOTEL MONACO,NonResidential,942000145,1101 4TH AVE,SEATTLE,WA,98101,47.60695,-122.33414,DOWNTOWN,7,1969,11,1,153163,133884,19279,154723,154723,0,63,81.5,82.59999847,12775902,12610829,149.1999969,150.3999939,Hotel,Hotel,154723,NA,NA,1532022,4664600,28840,Compliant,No Issue,5227259,2884040,561,4.19,False,,
16,2023,W SEATTLE HOTEL,NonResidential,942000165,1112 4TH AVE,SEATTLE,WA,98101,47.60738,-122.33362,DOWNTOWN,7,1998,25,1,333176,272015,61161,336640,292079,44561,68,84.19999695,84.19999695,24584306,24588206,192.1000061,192.1000061,Hotel,Hotel,292079,Parking,NA,4941677,5198175,25251,Compliant,No Issue,16861002,2525130,652.7,2.4,False,44561,
17,2023,EXECUTIVE HOTEL PACIFIC,NonResidential,942000210,400 SPRING ST,SEATTLE,WA,98104,47.60699,-122.33346,DOWNTOWN,7,1928,9,1,65009,65009,0,65009,65009,0,90,64.30000305,64.40000153,4184601,4180407,101.3000031,101.5,Hotel,Hotel,59021,Restaurant,Fast Food Restaurant,339518,1170069,18561,Not Compliant,Portfolio Manager Not Connected to the City of Seattle,1158436,1856100,199.9,3.07,False,5288,700
18,2023,CROWNE PLAZA,NonResidential,942000235,1113 6TH AVE,SEATTLE,WA,98101,47.60809,-122.33212,DOWNTOWN,7,1980,33,1,353111,295511,57600,353111,295511,57600,87,63.29999924,63.29999924,18720176,18720176,135.3000031,135.3000031,Hotel,Hotel,295511,Parking,NA,3403331,,71080,Compliant,No Issue,11612165,7108010,444.1,1.5,False,57600,
19,2023,HOTEL VINTAGE PARK,NonResidential,942000265,1100 5TH AVE,SEATTLE,WA,98101,47.60755,-122.33244,DOWNTOWN,7,1922,11,1,92190,66990,25200,0,0,0,,,,,,,,Hotel,Hotel,67390,NA,NA,,,,Not Compliant,Portfolio Manager Not Connected to the City of Seattle,,,,,False,,
21,2023,CENTRAL - SEATTLE PUBLIC LIBRARY,Nonresidential COS,942000275,1000 4TH AVE,SEATTLE,WA,98104,47.60649,-122.33297,DOWNTOWN,7,2004,11,1,412000,355000,57000,414987,365987,49000,,39.40000153,39.5,14472259,14404242,107.3000031,107.6999969,Library,Library,364913,Parking,Data Center,4040580,685799,,Compliant,No Issue,13786459,,135.5,0.38,False,49000,1074
22,2023,DOWNTOWN SEATTLE YMCA,NonResidential,942000350,909 4TH AVE,SEATTLE,WA,98104,47.60546,-122.33279,DOWNTOWN,7,1930,6,1,103911,103911,0,103911,103911,0,,,,,,,,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym,61528,Office,Other - Lodging/Residential,1367376,3851101,,Not Compliant,"Missing EUI, Incomplete Fuel Data",4665487,,339,3.26,False,32195,10188
23,2023,RENAISSANCE MADISON HOTEL,NonResidential,942000430,515 MADISON ST,SEATTLE,WA,98104,47.60681,-122.33078,DOWNTOWN,7,1983,28,1,460902,375902,85000,460902,375902,85000,63,74.5,74.90000153,28165194,28020776,163.3000031,164.3999939,Hotel,Hotel,375902,Parking,NA,5397804,,97479,Compliant,No Issue,18417307,9747890,623.5,1.66,False,85000,
24,2023,RAINIER CLUB (HISTORICAL LANDMARK),NonResidential,942000510,810 4TH AVE,SEATTLE,WA,98104,47.60515,-122.33159,DOWNTOWN,7,1907,5,1,57452,57452,0,57452,57452,0,,121,121.5999985,6987502,6952406,225.6000061,226.3000031,Mixed Use Property,Social/Meeting Hall,16442,Restaurant,Office,905967,1675886,22205,Compliant,No Issue,3091160,2220460,271.4,4.72,False,15505,9741
25,2023,ARCTIC CLUB HOTEL - SEATTLE,NonResidential,942000610,700 3RD AVE,SEATTLE,WA,98104,47.60376,-122.33194,DOWNTOWN,7,1916,10,1,104352,104352,0,104352,104352,0,54,,83.69999695,8739448,,,171.8000031,Hotel,Hotel,104352,NA,NA,1406355,,16521,Compliant,No Issue,4798483,1652070,115.4,1.11,False,,
26,2023,KING COUNTY COURTHOUSE,NonResidential,942000860,516 3RD AVE,SEATTLE,WA,98104,47.60265,-122.33051,DOWNTOWN,1,1916,10,1,540360,540360,0,537150,537150,0,60,93.19999695,93.59999847,50279532,50087016,169.8999939,170.1999969,Courthouse,Courthouse,501287,Barracks,NA,6472649,,281948,Compliant,No Issue,22084678,28194850,1622.4,3,False,35863,
27,2023,KING COUNTY CORRECTIONAL FACILITY,NonResidential,942001010,500 5TH AVE,SEATTLE,WA,98104,47.60378,-122.32842,DOWNTOWN,7,1985,19,1,385274,385274,0,385274,339315,45959,,139.3000031,140.1000061,47522640,47256480,224.1999969,225.3999939,Prison/Incarceration,Prison/Incarceration,339315,Parking,NA,4452139,,323319,Compliant,No Issue,15190698,32331941,1801.7,4.68,False,45959,
28,2023,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,1102000138,5101 S GRAHAM ST,SEATTLE,WA,98118,47.54576,-122.26853,SOUTHEAST,2,1961,2,1,56228,56228,0,55715,55715,0,90,28.89999962,29.29999924,1630399,1607464,56.29999924,56.70000076,K-12 School,K-12 School,55715,NA,NA,242034,,8046,Compliant,No Issue,825820,804580,47.4,0.84,False,,
29,2023,WATERTOWN HOTEL,NonResidential,1142000755,4242 ROOSEVELT WAY NE,SEATTLE,WA,98105,47.65958,-122.31738,NORTHEAST,4,2001,6,1,88592,58006,30586,98356,67770,30586,96,51.20000076,51.5,3491628,3471808,108.5,109.3000031,Hotel,Hotel,67770,Parking,NA,626810,,13530,Compliant,No Issue,2138676,1352950,84.1,1.45,False,30586,
30,2023,CORNISH (Main Campus Center),NonResidential,660001420,1000 LENORA ST,SEATTLE,WA,98121,47.61816,-122.33629,DOWNTOWN,7,1928,7,1,126593,126593,0,125000,125000,0,,68.19999695,68,8506227,8524476,126.5999985,126.4000015,College/University,College/University,125000,NA,NA,1151135,,45786,Compliant,No Issue,3927673,4578560,265.4,2.1,False,,
33,2023,SPRINGHILL SUITES SEATTLE DOWNTOWN,NonResidential,660002680,1800 YALE AVE,SEATTLE,WA,98101,47.61784,-122.32966,DOWNTOWN,7,2001,10,1,171866,133585,38281,171866,133585,38281,69,59.70000076,60.09999847,8033776,7975176,124.6999969,126,Hotel,Hotel,133585,Parking,NA,1405081,,32396,Compliant,No Issue,4794136,3239640,199.5,1.49,False,38281,
34,2023,MEANY MIDDLE SCHOOL (SPS-DISTRICT),SPS-District K-12,688000090,300 20TH AVE E,SEATTLE,WA,98112,47.62266,-122.30547,CENTRAL,3,1955,1,1,126351,126351,0,119254,119254,0,70,36.5,36.79999924,4389915,4348970,59.79999924,60.09999847,K-12 School,K-12 School,119254,NA,NA,428292,,29286,Compliant,No Issue,1461331,2928580,163.7,1.3,False,,
35,2023,HOTEL FIVE,NonResidential,697000170,2200 5TH AVE,SEATTLE,WA,98121,47.61558,-122.34186,DOWNTOWN,7,1978,5,1,68410,52210,16200,72610,52210,20400,83,65.19999695,66,3448140,3404418,134.5,136.8000031,Hotel,Hotel,52210,Parking,NA,590218,,14343,Compliant,No Issue,2013826,1434310,87.7,1.68,False,15400,
36,2023,JANE ADDAMS MIDDLE (SPS-DISTRICT),SPS-District K-12,752000170,11031 34TH AVE NE,SEATTLE,WA,98125,47.70994,-122.29301,NORTH,5,1949,2,1,160645,160645,0,168709,168709,0,62,45.20000076,45.70000076,7632030,7546708,67.40000153,67.90000153,K-12 School,K-12 School,166917,NA,NA,556176,,57344,Compliant,No Issue,1897674,5734360,314.9,1.96,False,,
37,2023,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,809000005,201 GARFIELD ST,SEATTLE,WA,98109,47.6329,-122.35172,MAGNOLIA / QUEEN ANNE,7,1989,2,1,51582,51582,0,54946,54946,0,72,27.20000076,27.29999924,1499100,1495744,76.19999695,76.40000153,K-12 School,K-12 School,54946,NA,NA,439361,,,Compliant,No Issue,1499100,,8.7,0.17,False,,
38,2023,GOOD SHEPHERD CENTER,NonResidential,825049102,4649 SUNNYSIDE AVE N,SEATTLE,WA,98103,47.6641,-122.33118,LAKE UNION,4,1906,3,1,87262,87262,0,78405,78405,0,,51.59999847,52.40000153,4106739,4046835,74.90000153,75.69999695,Office,Office,43615,K-12 School,Other - Entertainment/Public Assembly,272467,,31771,Compliant,No Issue,929657,3177080,173.8,1.99,False,23177,5919
40,2023,SILVER CLOUD INN UNIVERSITY,NonResidential,925049117,5036 25TH AVE NE,SEATTLE,WA,98105,47.66583,-122.29965,NORTHEAST,4,1994,4,1,81871,81871,0,81871,81871,0,86,60.79999924,61.40000153,5025038,4975042,122.1999969,123.8000031,Hotel,Hotel,81871,NA,NA,813693,,22487,Compliant,No Issue,2776320,2248720,135.3,1.65,False,,
43,2023,BOEING PLANT 2 ISAL  (BLDG 2-122)-North Boeing Field Campus,Campus,22000005,1135 S WEBSTER ST,SEATTLE,WA,98108,47.53493,-122.31788,GREATER DUWAMISH,1,1992,3,1,2026324,2026324,0,1987214,1987214,0,,254.3999939,261,518865440,505817344,399.5,406.3999939,Mixed Use Property,Office,686180,Laboratory,Non-Refrigerated Warehouse,44085288,,3684464,Compliant,No Issue,150419003,368446425,20400.1,10.07,False,639946,480625
50,2023,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,369000400,4017 26TH AVE W,SEATTLE,WA,98199,47.65671,-122.39047,MAGNOLIA / QUEEN ANNE,6,1990,2,1,54986,54986,0,52669,52669,0,73,32.70000076,32.90000153,1734076,1720216,71.90000153,72.5,K-12 School,K-12 School,52669,NA,NA,334705,,5921,Compliant,No Issue,1142012,592060,38,0.69,False,,
51,2023,ECKSTEIN MIDDLE (SPS-DISTRICT),SPS-District K-12,425049022,3003 NE 75TH ST,SEATTLE,WA,98115,47.68252,-122.29498,NORTHEAST,4,1950,2,1,175565,175565,0,179513,179513,0,86,41.79999924,42.40000153,7618848,7510252,58.09999847,58.70000076,K-12 School,K-12 School,179513,NA,NA,424254,,61713,Compliant,No Issue,1447556,6171290,335.5,1.91,False,,
53,2023,EL CENTRO DE LA RAZA,NonResidential,570000340,2524 16TH AVE S,SEATTLE,WA,98144,47.58034,-122.31132,GREATER DUWAMISH,2,1900,2,1,52554,52554,0,58878,58878,0,86,38,38.5,2266798,2237366,61.90000153,62.5,Office,Office,51029,Other - Education,NA,217780,,15237,Compliant,No Issue,743065,1523730,85.1,1.62,False,7849,
54,2023,BLANCHET HIGH SCHOOL,NonResidential,625049002,8200 WALLINGFORD AVE N,SEATTLE,WA,98103,47.68891,-122.33553,NORTHWEST,6,1954,3,1,175015,175015,0,220000,190000,30000,67,50.90000153,51.40000153,9770287,9663634,82.30000305,82.80000305,K-12 School,K-12 School,190000,Parking,NA,917633,,66393,Compliant,No Issue,3130963,6639320,370,2.11,False,0,
55,2023,VINE ST MINI STORAGE,NonResidential,653000225,11 VINE ST,SEATTLE,WA,98121,47.61351,-122.35129,DOWNTOWN,7,1911,3,1,70586,70586,0,70495,70495,0,,18,18.10000038,1273690,1266078,50.29999924,50.59999847,Self-Storage Facility,Self-Storage Facility,42298,Vocational School,NA,373297,,,Compliant,No Issue,1273690,,7.4,0.1,False,28197,
56,2023,HILTON SEATTLE,NonResidential,7802920020,1301 6TH AVE,SEATTLE,WA,98101,47.60946,-122.33337,DOWNTOWN,7,1969,24,1,332210,126240,205970,332210,332210,0,90,36.59999847,37.09999847,12311495,12159480,79.30000305,80.59999847,Hotel,Hotel,332210,NA,NA,2320311,,43946,Compliant,No Issue,7916901,4394590,278.8,2.21,False,,
57,2023,5TH & PINE,NonResidential,1975700200,1513 5TH AVE,SEATTLE,WA,98101,47.6113,-122.33659,DOWNTOWN,7,1973,5,1,88717,88717,0,169531,169531,0,78,30.39999962,30.39999962,5155444,5155444,85.09999847,85.09999847,Office,Office,103855,Retail Store,NA,1510974,,,Compliant,No Issue,5155443,,29.9,0.34,False,65676,
58,2023,CENTURY SQUARE RETAIL,NonResidential,1975700365,1525 4TH AVE,SEATTLE,WA,98101,47.61076,-122.33765,DOWNTOWN,7,1920,2,1,57428,57428,0,57428,57428,0,,18.20000076,18.20000076,1045051,1046763,51,51,Other - Mall,Other - Mall,57428,"Personal Services (Health/Beauty, Dry Cleaning, etc)",Retail Store,306287,,0,Compliant,No Issue,1045051,0,6.1,0.11,False,0,0
59,2023,GIBRALTAR TOWER,NonResidential,1975700380,1518 3RD AVE,SEATTLE,WA,98101,47.61048,-122.33794,DOWNTOWN,7,1910,8,1,59400,59400,0,54985,54985,0,,28.60000038,29.39999962,1618313,1571793,80,82.40000153,Office,Office,48366,Retail Store,NA,474300,,,Compliant,No Issue,1618313,,9.4,0.16,False,6619,
60,2023,MANN BUILDING/WILD GINGER/TRIPLE DOOR,NonResidential,1975700525,1401 3RD AVE,SEATTLE,WA,98101,47.60886,-122.33744,DOWNTOWN,7,1926,2,1,64597,64597,0,64597,64597,0,,181.6000061,182.6000061,11792684,11728600,293.1000061,294.1000061,Mixed Use Property,Restaurant,21292,Performing Arts,Office,1107967,,80123,Compliant,No Issue,3780383,8012300,446.6,6.91,False,15904,14011
61,2023,PALIHOTEL,NonResidential,1975700600,107 PINE ST,SEATTLE,WA,98101,47.60973,-122.34038,DOWNTOWN,7,1900,4,1,50510,50510,0,50000,50000,0,63,94.5,95.59999847,4779863,4723840,174.3999939,175.8000031,Hotel,Hotel,50000,NA,NA,631524,,26251,Compliant,No Issue,2154759,2625100,151.6,3,False,,
62,2023,HOTEL THEODORE (ROOSEVELT),NonResidential,1976700010,1531 7TH AVE,SEATTLE,WA,98101,47.61233,-122.33432,DOWNTOWN,7,1930,20,1,98634,88591,10043,98634,88591,10043,61,83.5,84.30000305,7468486,7393896,166.8999939,169.1999969,Hotel,Hotel,88591,Parking,Restaurant,1151863,1792307,17460,Compliant,No Issue,3930157,1746020,260.5,2.94,False,10043,7057
63,2023,SHERATON GRAND SEATTLE - (Parent Building),Campus,1976700095,1400 6TH AVE,SEATTLE,WA,98101,47.61087,-122.33339,DOWNTOWN,7,1982,34,2,1083197,926614,156583,1111880,994212,117668,71,79.80000305,79.90000153,79440312,79313408,162,162.1000061,Hotel,Hotel,994212,Parking,Swimming Pool,12738810,11073023,249024,Compliant,No Issue,43464820,24902450,2468.8,2.66,False,117668,0
65,2023,INN AT THE MARKET,NonResidential,1977200050,86 PINE ST,SEATTLE,WA,98101,47.60997,-122.34138,DOWNTOWN,7,1985,7,1,71150,57420,13730,71150,57420,13730,56,106.0999985,106.3000031,6103310,6089618,193.1000061,193.8000031,Hotel,Hotel,57420,Parking,NA,789927,,34081,Compliant,No Issue,2695230,3408080,196.3,3.42,False,13730,
66,2023,MOORE HOTEL & THEATRE,NonResidential,1977201035,1926 2ND AVE,SEATTLE,WA,98101,47.61155,-122.34114,DOWNTOWN,7,1908,7,1,122810,122810,0,122810,122810,0,100,38.5,39,4790262,4727654,54.20000076,54.79999924,Hotel,Hotel,96360,Other - Entertainment/Public Assembly,NA,284156,,38207,Compliant,No Issue,969539,3820720,208.1,1.69,False,26450,
68,2023,HOLIDAY INN - SEATTLE,NonResidential,1991200935,211 DEXTER AVE N,SEATTLE,WA,98109,47.62001,-122.34274,LAKE UNION,7,2000,7,1,150453,115718,34735,150453,115718,34735,96,53.5,53.79999924,6227634,6189094,108.0999985,109.0999985,Hotel,Hotel,115718,Parking,NA,1018435,,27527,Compliant,No Issue,3474900,2752730,166,1.43,False,34735,
69,2023,FAIRFIELD INN,NonResidential,1991200940,226 7TH AVE N,SEATTLE,WA,98109,47.62025,-122.34314,LAKE UNION,7,1997,6,1,116300,88100,28200,116690,88490,28200,97,51.79999924,51.79999924,4585243,4585243,102.4000015,102.4000015,Hotel,Hotel,88490,Parking,NA,710624,,21606,Compliant,No Issue,2424651,2160590,128.6,1.46,False,28200,
70,2023,HOMEWOOD SUITES HOTEL - SEATTLE,NonResidential,1992200235,206 WESTERN AVE W,SEATTLE,WA,98119,47.62023,-122.35951,MAGNOLIA / QUEEN ANNE,7,1998,6,1,155602,118858,36744,155602,118858,36744,56,59.5,59.5,7068955,7068955,127.3000031,127.3000031,Hotel,Hotel,118858,Parking,NA,1290922,,26643,Compliant,No Issue,4404626,2664330,166.8,1.4,False,36744,
73,2023,SEATTLE HEBREW ACADEMY,NonResidential,2125049015,1617 INTERLAKEN DR E,SEATTLE,WA,98112,47.63442,-122.30793,EAST,3,1911,3,1,56072,56072,0,67064,67064,0,59,59.59999847,60.59999847,4067181,3998669,76.40000153,77.40000153,K-12 School,K-12 School,67064,NA,NA,154260,,35408,Compliant,No Issue,526335,3540850,190.7,3.4,False,,
77,2023,FOUR POINTS SHERATON SEATTLE CENTER,NonResidential,2249000170,601 ROY ST,SEATTLE,WA,98109,47.62519,-122.34456,MAGNOLIA / QUEEN ANNE,7,1999,4,1,122942,78051,44891,122942,78051,44891,99,47.90000153,48.20000076,3758534,3740926,96.09999847,96.69999695,Hotel,Hotel,78051,Parking,NA,603499,,16994,Compliant,No Issue,2059138,1699400,102,1.31,False,44891,
82,2023,WA DEPT OF SOCIAL & HEALTH SERVICES (DSHS),NonResidential,2254501944,1700 E CHERRY ST,SEATTLE,WA,98122,47.60823,-122.30956,CENTRAL,3,1962,2,1,54984,54984,0,59221,59221,0,76,49.20000076,50,2958582,2914788,101.4000015,102.8000031,Office,Office,59221,NA,NA,499714,,12536,Compliant,No Issue,1705022,1253560,76.3,1.39,False,,
84,2023,PROVIDENCE MT ST VINCENT,NonResidential,2324039001,4831 35TH AVE SW,SEATTLE,WA,98126,47.55837,-122.37751,SOUTHWEST,1,1922,5,1,371257,296313,74944,371257,296313,74944,50,142.3999939,143.1999969,42441052,42191340,211.6999969,212.6000061,Senior Living Community,Senior Living Community,296313,Parking,NA,3085690,,319127,Compliant,No Issue,10528374,31912681,1752.4,5.91,False,0,
85,2023,FOSS HOME AND VILLAGE,NonResidential,2426039059,13023 GREENWOOD AVE N,SEATTLE,WA,98133,47.72426,-122.35599,NORTHWEST,5,1970,2,1,93397,93397,0,93397,93397,0,31,115.5,111.8000031,10442692,10787121,143.6000061,139,Senior Living Community,Senior Living Community,93397,NA,NA,337983,,92895,Compliant,No Issue,1153199,9289490,499,5.34,False,,
86,2023,SCCA - ALLIANCE HOUSE,NonResidential,2467400430,207 PONTIUS AVE N,SEATTLE,WA,98109,47.61988,-122.33211,LAKE UNION,7,2008,6,1,84103,63371,20732,84103,63371,20732,85,56.5,57.20000076,3624863,3580620,142.8999939,144.8000031,Hotel,Hotel,63371,Parking,NA,899607,,5554,Compliant,No Issue,3069459,555400,47.2,0.75,False,20732,
87,2023,ARBOR HEIGHTS ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,2518400005,3701 SW 104TH ST,SEATTLE,WA,98146,47.5097,-122.37759,SOUTHWEST,1,2016,3,1,78972,78972,0,89973,89973,0,86,37.40000153,37.70000076,3393962,3363580,55.40000153,55.70000076,K-12 School,K-12 School,89973,NA,NA,407205,,20046,Compliant,No Issue,1389384,2004580,114.3,1.45,False,,
89,2023,POLYCLINIC MEDICAL OFFICE (NORTH & SOUTH),NonResidential,1978201270,1200 HARVARD AVE,SEATTLE,WA,98122,47.61244,-122.3214,EAST,3,1965,3,2,329489,179014,150475,289951,139476,150475,,98.90000153,99.09999847,13827019,13796639,201.1000061,201.3999939,Parking,Parking,150475,Urgent Care/Clinic/Other Outpatient,NA,2273599,,60695,Compliant,No Issue,7757520,6069500,366.7,2.05,False,139476,
95,2023,SORRENTO HOTEL,NonResidential,1979200270,900 MADISON ST,SEATTLE,WA,98104,47.60898,-122.32693,EAST,3,1908,7,1,76631,76631,0,76631,76631,0,,,,,,,,Hotel,Hotel,76631,NA,NA,696603,,,Not Compliant,"Missing EUI, Incomplete Fuel Data",2376808,,13.8,0.18,False,,
96,2023,BLOODWORKS NW CENTRAL SEATTLE,NonResidential,1979200290,921 TERRY AVE,SEATTLE,WA,98104,47.60845,-122.32637,EAST,3,1983,6,1,121099,96783,24316,121099,96783,24316,22,148,148.5,14374677,14320948,327.1000061,328.1000061,Medical Office,Medical Office,96783,Parking,NA,2654413,5317819,,Compliant,No Issue,9056857,,483.3,4.99,False,24316,
100,2023,CITY PLACE III (Obidos/Rufus),NonResidential,1983200325,551 BOREN AVE N,SEATTLE,WA,98109,47.62424,-122.33646,LAKE UNION,7,2010,5,2,438093,287367,150726,438093,287367,150726,86,47.70000076,48.09999847,13814936,13713707,120.3000031,121.1999969,Office,Office,251818,Parking,Veterinary Office,3405585,,21951,Compliant,No Issue,11619856,2195080,183.7,0.64,False,150726,10964
102,2023,MARRIOTT RESIDENCE INN,NonResidential,1984200065,800 FAIRVIEW AVE N,SEATTLE,WA,98109,47.62642,-122.33325,LAKE UNION,7,1990,7,1,282863,238097,44766,290330,290330,0,88,58.70000076,59,17122038,17054490,111.6999969,112,Hotel,Hotel,290330,Parking,NA,2432864,,88211,Compliant,No Issue,8300932,8821110,515.7,2.17,False,51537,
103,2023,CLIMATE PLEDGE ARENA,NonResidential,1985200003,305 HARRISON ST,SEATTLE,WA,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,7,1962,1,1,389000,389000,0,932000,932000,0,,109.5,109.4000015,101980008,102087128,306.7000122,306.3999939,Indoor Arena,Indoor Arena,932000,NA,NA,29888630,,,Compliant,No Issue,101980006,,591.5,1.52,False,,
104,2023,BAGLEY WRIGHT THEATER (Rep) - SEATTLE CENTER,Nonresidential COS,1985200003,305 HARRISON ST,SEATTLE,WA,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,7,1962,1,1,65127,65127,0,65000,65000,0,,82.40000153,85.19999695,5537904,5356809,180,183.3000031,Other,Other,65000,NA,NA,964213,2248000,,Compliant,No Issue,3289894,,201.2,3.09,False,,
106,2023,ARMORY - SEATTLE CENTER,Nonresidential COS,1985200305,305 HARRISON ST,SEATTLE,WA,98109,47.62141,-122.35086,MAGNOLIA / QUEEN ANNE,7,1938,5,1,396085,396085,0,278500,278500,0,,49.09999847,49.09999847,13681040,13681040,92.30000305,92.30000305,Other,Other,278500,NA,NA,1697565,7888950,0,Compliant,No Issue,5792092,0,672.6,1.7,False,,
